name,airport_code
Chambery-Savoie Airport,CMF
Chandigarh International Airport,IXC
Changchun Longjia International Airport,CGQ
Changsha Huanghua International Airport,CSX
Changzhou Benniu Airport,CZX
Chania International Airport,CHQ
Charles de Gaulle Airport,CDG
Charles Kirkconnell International Airport,CYB
Charleston International Airport,CHS
Charlotte/Douglas International Airport,CLT
Chaudhary Charan Singh International Airport,LKO
Cheboksary Airport,CSY
Cheddi Jagan International Airport,GEO
Chelyabinsk Airport,CEK
Chengdu Shuangliu International Airport,CTU
Chennai International Airport,MAA
Cheongju International Airport,CJJ
Cherepovets Airport,CEE
Chernivtsi International Airport,CWC
Chhatrapati Sambhaji Raje International Airport,CRA\NPQ
Chhatrapati Shivaji International Airport,BOM
Chiang Mai International Airport,CNX
Chicago Midway International Airport,MDW
Chicago Rockford International Airport,RFD
Chileka International Airport,BLZ
Chinggis Khaan International Airport,ULN
Chingozi Airport,TET
Chios Island National Airport,JKH
Chisinau International Airport,KIV
Chlef International Airport,CFK
Chongqing Jiangbei International Airport,CKG
Christchurch International Airport,CHC
Christmas Island Airport,XCH
Chu Lai International Airport,VCL
Chub Cay International Airport,CCZ
Chubu Centrair International Airport,NGO
Chuuk International Airport,TKK
Cibao International Airport,STI
Cincinnati/Northern Kentucky International Airport,CVG
City of Derry Airport,LDY
Ciudad del Carmen International Airport,CME
Clark International Airport,CRK
Clayton J. Lloyd International Airport,AXA
Cleveland Hopkins International Airport,CLE
Cluj-Napoca International Airport,CLJ
Cochin International Airport,COK
Cocos (Keeling) Islands Airport,CCK
Coimbatore International Airport,CJB
Cologne/Bonn Airport,CGN
Comodoro Arturo Merino Benitez International Airport,SCL
Conakry International Airport,CKY
Congonhas Airport,CGH
Copenhagen Airport,CPH
Copernicus Airport Wroclaw,WRO
Cork Airport,ORK
Corn Island Airport,RNI
Costa Smeralda Airport,OLB
Cote d'Azur Airport,NCE
Cozumel International Airport,CZM
Cristoforo Colombo Airport,GOA
Cuneo Levaldigi Airport,CUF
Cyril E. King Airport,STT
Da Nang International Airport,DAD
Daegu Airport,TAE
Dakhla Airport,VIL
Dalaman Airport,DLM
Dalian Zhoushuizi International Airport,DLC
Dallas/Fort Worth International Airport,DFW
Daman Airport,NMB
Damascus International Airport,DAM
Dandong Langtou Airport,DDG
Daniel Oduber Quiros International Airport,LIR
Darwin International Airport,DRW
Dayrestan Airport,GSM
Dayton International Airport,DAY
Debrecen International Airport,DEB
Del Bajio International Airport,BJX
Denver International Airport,DEN
Deputado Luis Eduardo Magalhaes International Airport,SSA
Dera Ghazi Khan International Airport,DEA
Des Moines International Airport,DSM
Detroit Metropolitan Wayne County Airport,DTW
Devi Ahilya Bai Holkar International Airport,IDR
Dholera International Airport,DHR
Dimapur Airport,DMU
Diori Hamani International Airport,NIM
Djibouti-Ambouli International Airport,JIB
Dnipropetrovsk International Airport,DNK
Domodedovo International Airport,DME
Don Miguel Hidalgo y Costilla International Airport,GDL
Don Mueang International Airport,DMK
Donetsk Airport,DOK
Dortmund Airport,DTM
Douala Airport,DLA
Dr. Babasaheb Ambedkar International Airport,NAG
Dubai International Airport,DXB
Dublin Airport,DUB
Dubrovnik Airport,DBV
Dunedin International Airport,DUD
Dunhuang Airport,DNH
Durham Tees Valley Airport,MME
Dushanbe Airport,DYU
Dusseldorf Airport,DUS
Dzaoudzi Pamandzi International Airport,DZA
East Midlands Airport,EMA
Edinburgh Airport,EDI
Edmonton International Airport,YEG
Eduardo Gomes International Airport,MAO
Eindhoven Airport,EIN
El Alto International Airport,LPB
El Arish International Airport,AAC
El Dorado International Airport,BOG
