name,airport_code
Piloto Civil N. Fernandez International Airport,RGL
Pinto Martins International Airport,FOR
Pittsburgh International Airport,PIT
Plan de Guadalupe International Airport,SLW
Playa de Oro International Airport,ZLO
Pleurtuit Airport,DNR
Plovdiv Airport,PDV
Podgorica Airport,TGD
Pohnpei International Airport,PNI
Pointe Noire Airport,PNR
Pointe Vele Airport,FUT
Pole Caraibes International Airport,PTP
Ponciano Arriaga International Airport,SLP
Poprad-Tatry Airport,TAT
Poretta Airport,BIA
Port Bouet Airport,ABJ
Port Columbus International Airport,CMH
Port Harcourt International Airport,PHC
Port Hedland International Airport,PHE
Port Sudan New International Airport,PZU
Port-Gentil International Airport,POG
Portland International Airport,PDX
Portland International Jetport,PWM
Porto Santo Airport,PXO
Portoroz Airport,POW
Poznan Lawica Airport,POZ
Prague Vaclav Havel Airport,PRG
Presidente Carlos Ibanez del Campo International Airport,PUQ
Presidente Castro Pinto International Airport,JPA
Presidente Nicolau Lobato International Airport,DIL
Prince Mohammad Bin Abdulaziz International Airport,MED
Prince Said Ibrahim International Airport,HAH
Provence Airport,MRS
Providenciales Airport,PLS
Provideniya Bay Airport,PVS
Pskov Airport,PKV
Puerto Cabezas Airport,PUZ
Puerto Princesa International Airport,PPS
Pula Airport,PUY
Pulkovo Airport,LED
Pune International Airport,PNQ
Punta Cana International Airport,PUJ
Pyongyang Sunan International Airport,FNJ
Qabala International Airport,GBB
Qingdao liuting International Airport,TAO
Quanzhou Jinjiang International Airport,JJN
Quatro de Fevereiro Airport,LAD
Quebec/Jean Lesage International Airport,YQB
Queen Alia International Airport,AMM
Queenstown Airport,ZQN
Queretaro Intercontinental Airport,QRO
Quetta International Airport,UET
Rabah Bitat Airport,AAE
Rabat-Sale Airport,RBA
RAF Mount Pleasant,MPN
Rafael Hernandez Airport,BQN
Rafael Nunez International Airport,CTG
Raja Bhoj International Airport,BHO
Rajiv Gandhi International Airport,HYD
Raleigh-Durham International Airport,RDU
Ram Lala International Airport,FZD
"Ramon Airport (under construction, opening 2017)",ETM
Ramon Villeda Morales International Airport,SAP
Rarotonga Airport,RAR
Ras Al Khaimah International Airport,RKT
Regina International Airport,YQR
Reno-Tahoe International Airport,RNO
Resistencia International Airport,RES
Reus Airport,REU
Reykjavik Airport,RKV
Rhodes International Airport,RHO
Rickenbacker International Airport,LCK
Riga International Airport,RIX
Rijeka Airport,RJK
Rio de Janeiro-Galeao International Airport,GIG
Robert L. Bradshaw International Airport,SKB
Roberto Fierro Villalobos International Airport,CUU
Roberts International Airport,ROB
Robin Hood Airport Doncaster Sheffield,DSA
Rock Sound International Airport,RSD
Rodriguez Ballon International Airport,AQP
Roland Garros Airport,RUN
Roman Tmetuchl International Airport,ROR
Rome Ciampino Airport,CIA
Ronald Reagan Washington National Airport,DCA
Roshchino International Airport,TJM
Rostov-na-Donu Airport,ROV
Rota International Airport,ROP
Rotterdam The Hague Airport,RTM
Rovaniemi Airport,RVN
Rzeszow-Jasionka Airport,RZE
Sabarigiri International Airport,SIA
Sabiha Gokcen International Airport,SAW
Sacramento International Airport,SMF
Sadiq Abubakar III International Airport,SKO
Saint-Exupery Airport,LYS
Saipan International Airport,SPN
Sakirpasa Airport,ADA
Salgado Filho International Airport,POA
Salt Lake City International Airport,SLC
Salvaza Airport,CCF
Salzburg Airport,SZG
Sam Ratulangi International Airport,MDC
Samana El Catey International Airport,AZS
Samara Kurumoch Airport,KUF
Samarinda International Airport,SRI
Samos International Airport,SMI
Samsun-Carsamba Airport,SZF
Samui Airport,USM
San Antonio International Airport,SAT
San Bernardino International Airport,SBD
San Diego International Airport,SAN
San Egidio Airport,PEG
San Francisco International Airport,SFO
San Jose International Airport,SJC
Sana'a International Airport,SAH
Sandefjord Airport,TRF
Sangster International Airport,MBJ
Sania Ramel Airport,TTU
Santa Genoveva Airport,GYN
Santa Maria Airport,AJU
Santa Rosa International Airport,ETR
Santander Airport,SDR
Santiago de Compostela Airport,SCQ
Santo-Pekoa International Airport,SON
Santorini (Thira) National Airport,JTR
Sanya Phoenix International Airport,SYX
Sao Paulo-Guarulhos International Airport,GRU
Sao Tome International Airport,TMS
Sarajevo International Airport,SJJ
Sarasota-Bradenton International Airport,SRQ
Saratov Tsentralny Airport,RTW
Sardar Vallabhbhai Patel International Airport,AMD
Saskatoon John G. Diefenbaker International Airport,YXE
Seattle-Tacoma International Airport,SEA
Sebha Airport,SEB
Senador Nilo Coelho Airport,PNZ
Senai International Airport,JHB
Sendai Airport,SDJ
Senou International Airport,BKO
Sentani Airport,DJJ
Seville Airport,SVQ
Seychelles International Airport,SEZ
Shah Amanat International Airport,CGP
Shaikh Zayed International Airport,RYK
Shanghai Hongqiao International Airport,SHA
Shanghai Pudong International Airport,PVG
Shannon Airport,SNN
Sharjah International Airport,SHJ
Sharm el-Sheikh International Airport,SSH
Shenyang Taoxian International Airport,SHE
Shenzhen Bao'an International Airport,SZX
Sheremetyevo International Airport,SVO
Shijiazhuang Zhengding International Airport,SJW
Shillong Airport,SHL
Shimla Airport,SLV
Shirak Airport,LWN
Shiraz International Airport,SYZ
Shizuoka Airport,FSZ
Shymkent Airport,CIT
Sialkot International Airport,SKT
Siauliai International Airport,SQQ
Sibiu International Airport,SBZ
Siem Reap-Angkor International Airport,REP
Sihanoukville International Airport,KOS
Silvio Pettirossi International Airport,ASU
Simferopol International Airport,SIP
Simon Bolivar International Airport,SMR
Simon Bolivar International Airport,CCS
Simon Mwansa Kapwepwe Airport,NLA
Singapore Changi Airport,SIN
Sir Seewoosagur Ramgoolam International Airport,MRU
Sir Seretse Khama International Airport,GBE
Skiathos Island National Airport,JSI
Skopje Alexander the Great Airport,SKP
Skyros Island National Airport,SKU
Sliac Airport,SLD
Sochi International Airport,AER
Soekarno Hatta International Airport,CGK
Sofia Airport,SOF
Sohag International Airport,HMB
Sokol Airport,GDX
Soummam Airport,BJA
Southampton Airport,SOU
Southend Airport,SEN
Southwest Florida International Airport,RSW
Spichenkovo Airport,NOZ
Split Airport,SPU
Spokane International Airport,GEG
Sri Guru Ram Dass Jee International Airport,ATQ
Srinagar Airport,SXR
St. Catherine International Airport,SKV
St. Gallen-Altenrhein Airport,ACH
St. John's International Airport,YYT
St. Petersburg-Clearwater International Airport,PIE
Stansted Airport,STN
Stavanger Airport,SVG
Stavropol Shpakovskoye Airport,STW
Stewart International Airport,SWF
Stockholm-Arlanda Airport,ARN
Stockholm-Bromma Airport,BMA
Stockholm-Skavsta Airport,NYO
Stockholm-Vasteras Airport,VST
Strasbourg Airport,SXB
Strigino Airport,GOJ
Stuttgart Airport,STR
Subic Bay International Airport,SFS
Sulaimaniyah International Airport,ISU
Sultan Abdul Aziz Shah Airport,SZB
Sultan Aji Muhammad Sulaiman Airport,BPN
Sultan Azlan Shah Airport,IPH
Sultan Ismail Petra Airport,KBR
Sultan Mahmud Badaruddin II Airport,PLM
Sultan Syarif Qasim II International Airport,PKU
Sunan Shuofang International Airport,WUX
Surat Thani Airport,URT
Surgut International Airport,SGC
Suvarnabhumi Airport,BKK
Swami Vivekananda Airport,RPR
Syamsudin Noor Airport,BDJ
Sydney Airport,SYD
Syktyvkar Airport,SCW
Syracuse Hancock International Airport,SYR
"Szczecin-Goleniow ""Solidarnosc"" Airport",SZZ
T.F. Green Airport,PVD
Taba International Airport,TCP
Tabriz International Airport,TBZ
Taichung International Airport,RMQ
Taipei Songshan Airport,TSA
Taiwan Taoyuan International Airport,TPE
Taiyuan Wusu International Airport,TYN
Taj International Airport,NTA
Talagi Airport,ARH
Tallahassee International Airport,TLH
Tamale Airport,TML
Tamanrasset Airport,TMR
Tampa International Airport,TPA
Tampere-Pirkkala Airport,TMP
Tan Son Nhat International Airport,SGN
Tancredo Neves International Airport,CNF
Tangier-Boukhalef Airport,TNG
Tartu Airport,TAY
Tashkent International Airport,TAS
Tbilisi International Airport,TBS
Ted Stevens Anchorage International Airport,ANC
Tehran Imam Khomeini International Airport,IKA
Tenerife North Airport,TFN
Tenerife South Airport,TFS
Teniente Coronel Luis a Mantilla International Airport,TUA
Teniente Luis Candelaria International Airport,BRC
Terceira Airport,TER
Terrance B. Lettsome International Airport,EIS
Thessaloniki International Airport,SKG
Thunder Bay International Airport,YQT
Thyna International Airport,SFA
Tianjin Binhai International Airport,TSN
Tianshui Airport,THQ
Tinian International Airport,TIQ
Tirana International Airport Nene Tereza,TIA
Tiruchirappalli International Airport,TRZ
Tirupati Airport,TIR
Tivat Airport,TIV
Tjilik Riwut Airport,PKY
Toamasina Airport,TMM
Tocumen International Airport,PTY
Tokoin Airport,LFW
Tolanaro Airport,FTU
Toliara Airport,TLE
Tolmachevo Airport,OVB
Toncontin International Airport,TGU
Toronto Pearson International Airport,YYZ
Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR
Tours Loire Valley Airport,TUF
Toussaint Louverture International Airport,PAP
Townsville International Airport,TSV
Trabzon Airport,TZX
Traian Vuia International Airport,TSR
Tribhuvan International Airport,KTM
Tripoli International Airport,TIP
Trivandrum International Airport,TRV
Tromso Airport,TOS
Trondheim Airport,TRD
Tunoshna Airport,IAR
Turbat International Airport,TUK
Turkmenbashi International Airport,KRW
Turku Airport,TKU
Tuzla International Airport,TZL
U-Tapao International Airport,UTP
Udon Thani International Airport,UTH
Ufa International Airport,UFA
Ugolny Airport,DYR
Ulyanovsk Vostochny Airport,ULY
Umea Airport,UME
Uruapan International Airport,UPN
Urumqi Diwopu International Airport,URC
Ushuaia International Airport,USH
Uytash Airport,MCX
Uzein Airport,PUF
Vaasa Airport,VAA
Vadodara Airport,BDQ
Vagar Airport,FAE
Val de Caes International Airport,BEL
Valencia Airport,VLC
Valladolid Airport,VLL
Vancouver International Airport,YVR
Varna Airport,VAR
Vava'u International Airport,VAV
Vaxjo Airport,VXO
VC Bird International Airport,ANU
Veer Savarkar International Airport,IXZ
Velana International Airport,MLE
Venice Marco Polo Airport,VCE
Ventspils International Airport,VNT
Verona Airport,VRN
Victoria Falls Airport,VFA
Victoria International Airport,YYJ
Vienna International Airport,VIE
Vilankulo Airport,VNX
Vilnius International Airport,VNO
Vilo Acuna Airport,CYO
Vincenzo Florio Airport,TPS
Viracopos International Airport,VCP
Viru Viru International Airport,VVI
Visakhapatnam Airport,VTZ
Visby Airport,VBY
Vladivostok International Airport,VVO
Vnukovo Airport,VKO
Volgograd International Airport,VOG
Voronezh International Airport,VOZ
Walvis Bay Airport,WVB
Washington Dulles International Airport,IAD
Wattay International Airport,VTE
Weeze Airport,NRN
Weihai International Airport,WEH
Wellington International Airport,WLG
Wenzhou Yongqiang Airport,WNZ
William P. Hobby Airport,HOU
Windhoek Hosea Kutako International Airport,WDH
Winnipeg James Armstrong Richardson International Airport,YWG
Wuhan Tianhe International Airport,WUH
Xi'an Xianyang International Airport,XIY
Xiamen Gaoqi International Airport,XMN
Xiangyang Airport,XFN
Xichang Qingshan Airport,XIC
Xining Caojiabao Airport,XNN
Xoxocotlan International Airport,OAX
Xuzhou Guanyin Airport,XUZ
Yakutsk Airport,YKS
Yancheng Nanyang Airport,YNZ
Yangon International Airport,RGN
Yangyang International Airport,YNY
Yanji Airport,YNJ
Yantai Penglai International Airport,YNT
Yap International Airport,YAP
Yelizovo Airport,PKC
Yemelyanovo International Airport,KJA
Yenisehir Airport,YEI
Yinchuan Hedong International Airport,INC
Yuzhno-Sakhalinsk Airport,UUS
Zadar Airport,ZAD
Zafer Airport,KZR
Zakynthos International Airport,ZTH
Zamboanga International Airport,ZAM
Zaporizhia International Airport,OZH
Zaragoza Airport,ZAZ
Zarzis Airport,DJE
Zenata Airport,TLM
Zhangjiajie Hehua Airport,DYG
Zhangye Ganzhou Airport,YZY
Zhengzhou Xinzheng International Airport,CGO
Zhoushan Putuoshan Airport,HSN
Zhuhai Jinwan Airport,ZUH
Zilina Airport,ILZ
Zonguldak Airport,ONQ
Zumbi dos Palmares International Airport,MCZ
Zurich Airport,ZRH
Zvartnots International Airport,EVN
